stateDt,newDecideCnt,decideCnt,deathCnt,clearCnt,careCnt,accDefRate,accExamCnt,accExamCompCnt
2021-08-11,1987,218192,2138,190535,25519,1.865343905,12207242,11697146
2021-08-10,2222,216205,2135,189506,24564,1.852952983,12156199,11668132
2021-08-09,1534,213983,2134,187523,24326,1.83736894,12112086,11646164
2021-08-08,1493,212449,2125,186242,24082,1.832985701,12057833,11590325
2021-08-07,1728,210956,2121,185003,23832,1.82469516,12027443,11561164
2021-08-06,1823,209228,2116,183789,23323,1.811342421,11995928,11550991
2021-08-05,1704,207405,2113,182052,23240,1.79967185,11951651,11524601
2021-08-04,1775,205701,2109,180719,22873,1.789802041,11908436,11492947
2021-08-03,1725,203926,2106,179123,22697,1.778472603,11864245,11466356
2021-08-02,1200,202201,2104,177909,22188,1.770320677,11820016,11421716
2021-08-01,1218,201001,2099,176605,22297,1.765422381,11772604,11385434
2021-07-31,1442,199783,2098,175674,22011,1.756614815,11751782,11373182
2021-07-30,1539,198341,2095,174177,22069,1.746018527,11728817,11359616
2021-07-29,1710,196802,2089,172757,21956,1.737651082,11682964,11325749
2021-07-28,1673,195092,2085,171559,21448,1.727215688,11637499,11295173
2021-07-27,1895,193419,2083,170494,20842,1.717500974,11585607,11261653
2021-07-26,1363,191524,2079,168629,20816,1.707111067,11528602,11219188
2021-07-25,1318,190161,2077,167365,20719,1.699180205,11472341,11191338
2021-07-24,1487,188843,2073,166375,20395,1.689328905,11453342,11178581
2021-07-23,1629,187356,2068,165246,20042,1.679445943,11430519,11155822
2021-07-22,1630,185727,2066,164206,19455,1.671666837,11388299,11110288
2021-07-21,1841,184097,2063,163073,18961,1.662363054,11343912,11074416
2021-07-20,1781,182256,2060,161634,18562,1.649900996,11298668,11046481
2021-07-19,1278,180475,2059,160347,18069,1.639592235,11251981,11007310
2021-07-18,1251,179197,2058,159630,17509,1.634749742,11202428,10961739
2021-07-17,1454,177946,2057,158953,16936,1.626483085,11175976,10940538
2021-07-16,1449,176492,2055,157960,16477,1.615992994,11149218,10921582
2021-07-15,1535,175043,2051,157113,15879,1.607316323,11108581,10890389
2021-07-14,1599,173508,2050,156509,14949,1.598272067,11060453,10855974
2021-07-13,1613,171909,2048,155491,14370,1.587787588,11008857,10826952
2021-07-12,1150,170296,2046,154752,13498,1.578983139,10964299,10785169
2021-07-11,1100,169146,2044,154187,12915,1.574150085,10919898,10745227
2021-07-10,1324,168046,2043,153760,12243,1.56668484,10902278,10726216
2021-07-09,1378,166722,2038,153153,11531,1.556415511,10881640,10711921
2021-07-08,1316,165344,2036,152498,10810,1.547621532,10844217,10683749
2021-07-07,1275,164028,2034,151923,10071,1.539934192,10802782,10651624
2021-07-06,1212,162753,2033,151500,9220,1.531972597,10766502,10623754
2021-07-05,746,161541,2032,150760,8749,1.524832365,10735716,10594017
2021-07-04,711,160795,2028,150044,8723,1.521924583,10700134,10565241
2021-07-03,742,160084,2026,149614,8444,1.517552471,10685125,10548828
2021-07-02,794,159342,2025,149132,8185,1.51225601,10670617,10536708
2021-07-01,826,158548,2024,148319,8205,1.508409908,10641602,10510936
2021-06-30,761,157722,2021,148024,7677,1.503633528,10614316,10489391
2021-06-29,794,156961,2018,147693,7250,1.499871667,10579072,10464962
2021-06-28,595,156167,2017,147077,7073,1.496012552,10555741,10438883
2021-06-27,501,155572,2015,146675,6882,1.495009747,10520929,10406086
2021-06-26,614,155071,2013,146340,6718,1.492171802,10508678,10392302
2021-06-25,668,154457,2012,145989,6456,1.487889877,10495516,10380943
2021-06-24,634,153789,2009,145389,6391,1.48669463,10466545,10344357
2021-06-23,610,153155,2008,144788,6359,1.484374932,10438782,10317811
2021-06-22,645,152545,2007,144379,6159,1.483877972,10409949,10280158
2021-06-21,394,151900,2006,143817,6077,1.481529887,10380042,10252915
2021-06-20,357,151506,2004,143268,6234,1.482792362,10346047,10217614
2021-06-19,429,151149,2002,142899,6248,1.48118902,10335634,10204572
2021-06-18,482,150720,1997,142385,6338,1.478453976,10323154,10194433
2021-06-17,507,150238,1996,141816,6426,1.477526381,10294048,10168211
2021-06-16,540,149731,1994,141029,6708,1.477144467,10257836,10136517
2021-06-15,545,149191,1993,140438,6760,1.475587056,10229384,10110620
2021-06-14,373,148646,1992,139733,6921,1.475716049,10196469,10072805
2021-06-13,399,148273,1988,139022,7263,1.476517846,10165497,10042073
2021-06-12,452,147874,1985,138581,7308,1.474553742,10152907,10028390
2021-06-11,565,147422,1982,138037,7403,1.471521964,10140535,10018335
2021-06-10,554,146857,1981,137224,7652,1.471909911,10111062,9977309
2021-06-09,611,146303,1979,136713,7611,1.470894135,10076862,9946535
2021-06-08,602,145692,1977,136174,7541,1.469653222,10044783,9913359
2021-06-07,453,145090,1975,135412,7703,1.470110969,10008583,9869323
2021-06-06,485,144637,1974,134861,7802,1.470520206,9972297,9835771
2021-06-05,556,144152,1973,134262,7917,1.467459997,9959697,9823232
2021-06-04,744,143596,1971,133763,7862,1.463952231,9945954,9808790
2021-06-03,695,142852,1969,133289,7594,1.461030859,9911324,9777480
2021-06-02,681,142157,1968,132699,7490,1.459142631,9872324,9742502
2021-06-01,677,141476,1965,132068,7443,1.457699002,9834350,9705433
2021-05-31,459,140799,1963,131463,7373,1.455920354,9798402,9670790
2021-05-30,430,140340,1959,130823,7558,1.456836017,9761158,9633205
2021-05-29,479,139910,1957,130381,7572,1.45419645,9747614,9621121
2021-05-28,533,139431,1951,129739,7741,1.450924946,9733591,9609801
2021-05-27,587,138898,1946,128759,8193,1.449937701,9702456,9579584
2021-05-26,637,138311,1943,128180,8188,1.449339906,9665693,9543034
2021-05-25,699,137674,1940,127574,8160,1.447922627,9629450,9508381
2021-05-24,516,136975,1938,126993,8044,1.445550475,9592727,9475629
2021-05-23,530,136459,1934,126427,8098,1.44662691,9553613,9432909
2021-05-22,585,135929,1931,125881,8117,1.443892882,9536299,9414064
2021-05-21,666,135344,1926,125032,8386,1.439307962,9520966,9403408
2021-05-20,561,134678,1922,124158,8598,1.436877385,9487108,9372964
2021-05-19,646,134117,1916,123659,8542,1.43617514,9447358,9338485
2021-05-18,653,133471,1912,123237,8322,1.431454878,9428644,9324150
2021-05-17,528,132818,1904,122631,8283,1.429443031,9395004,9291591
2021-05-16,619,132290,1903,122163,8224,1.4299309,9353300,9251496
2021-05-15,610,131671,1900,121764,8007,1.425789915,9336614,9234951
2021-05-14,681,131061,1896,121282,7883,1.42150471,9319094,9219878
2021-05-13,747,130380,1893,120395,8092,1.419320945,9281291,9186083
2021-05-12,715,129633,1891,119906,7836,1.416191336,9241153,9153636
2021-05-11,636,128918,1884,119373,7661,1.413999381,9201539,9117260
2021-05-10,510,128282,1879,118717,7686,1.412850883,9164284,9079656
2021-05-09,463,127772,1875,117844,8053,1.413616464,9122059,9038661
2021-05-08,564,127309,1874,117423,8012,1.410705601,9105771,9024491
2021-05-07,701,126745,1865,116881,7999,1.406573167,9089166,9010907
2021-05-06,525,126044,1860,116022,8162,1.404787852,9051354,8972458
2021-05-05,574,125519,1851,115491,8177,1.404968493,9010992,8933937
2021-05-04,676,124945,1847,114944,8154,1.401502668,8994069,8915074
2021-05-03,541,124269,1840,114128,8301,1.399573986,8957155,8879059
2021-05-02,488,123728,1834,113356,8538,1.401809863,8915326,8826304
2021-05-01,606,123240,1833,112865,8542,1.398606636,8898234,8811627
2021-04-30,627,122634,1831,112337,8466,1.39385709,8883388,8798176
2021-04-29,661,122007,1828,111422,8757,1.391855443,8848292,8765781
2021-04-28,680,121346,1825,110787,8734,1.390724211,8805774,8725382
2021-04-27,768,120666,1821,110248,8597,1.388669431,8766491,8689325
2021-04-26,512,119898,1820,109695,8383,1.386889523,8721609,8645101
2021-04-25,499,119386,1817,108850,8719,1.389034001,8672978,8594894
2021-04-24,644,118887,1813,108475,8599,1.386076695,8654791,8577231
2021-04-23,785,118243,1812,107781,8650,1.382206691,8632923,8554654
2021-04-22,797,117458,1811,107071,8576,1.37965284,8583530,8513591
2021-04-21,735,116661,1808,106459,8394,1.377284051,8537505,8470366
2021-04-20,731,115926,1806,105877,8243,1.375097668,8497594,8430383
2021-04-19,532,115195,1802,105227,8166,1.372676031,8458592,8392002
2021-04-18,671,114646,1801,104474,8371,1.373983738,8414821,8344058
2021-04-17,658,114114,1797,104006,8311,1.370923999,8396066,8323875
2021-04-16,673,113443,1794,103594,8055,1.365674304,8377778,8306739
2021-04-15,698,112785,1790,103062,7933,1.365031284,8333331,8262448
2021-04-14,731,112112,1788,102513,7811,1.363743629,8291121,8220900
2021-04-13,542,111414,1782,101983,7649,1.363570274,8245383,8170756
2021-04-12,587,110683,1775,101332,7576,1.363942757,8200514,8114930
2021-04-11,614,110141,1770,100804,7567,1.366932546,8152778,8057530
2021-04-10,677,109554,1768,100109,7677,1.363015759,8129527,8037618
2021-04-09,671,108940,1765,99301,7874,1.358928355,8106625,8016611
2021-04-08,700,108263,1764,98786,7713,1.357156244,8059107,7977195
2021-04-07,668,107592,1758,98360,7474,1.35601577,8012415,7934421
2021-04-06,477,106892,1756,97928,7208,1.354517426,7966161,7891519
2021-04-05,474,106224,1752,97363,7109,1.354530128,7921284,7842129
2021-04-04,542,105747,1748,96900,7099,1.357764282,7868815,7788318
2021-04-03,543,105273,1744,96589,6940,1.354922235,7849470,7769671
2021-04-02,557,104731,1740,96196,6795,1.350616973,7829596,7754308
2021-04-01,551,104188,1737,95861,6590,1.350016028,7788290,7717538
2021-03-31,506,103631,1735,95439,6457,1.349601674,7747295,7678636
2021-03-30,447,103080,1731,95030,6319,1.349834806,7707792,7636490
2021-03-29,382,102574,1729,94563,6282,1.352225878,7663991,7585567
2021-03-28,482,102127,1726,94124,6277,1.354940491,7616317,7537379
2021-03-27,505,101745,1722,93855,6168,1.353535775,7595584,7516979
2021-03-26,489,101263,1721,93475,6067,1.350644798,7572556,7497382
2021-03-25,430,100758,1716,92630,6412,1.352096664,7529391,7451982
2021-03-24,428,100269,1709,92068,6492,1.355193611,7485852,7398869
2021-03-23,346,99839,1707,91560,6572,1.358931149,7441203,7346877
2021-03-22,415,99411,1704,91079,6628,1.361643807,7400980,7300808
2021-03-21,456,99065,1697,90611,6757,1.365882135,7355954,7252822
2021-03-20,447,98650,1696,90328,6626,1.363625494,7332699,7234391
