createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
2021-08-12 9:38,12,5513,°Ë¿ª,Ì°×îÏ¡,Lazaretto,16,5012,489,0,16,-,11485,2021-08-12,
2021-08-12 9:38,1,1940,Á¦ÁÖ,?ñ¶,Jeju,23,1755,184,23,0,287.56,11484,2021-08-12,
2021-08-12 9:38,23,8435,°æ³²,?Ñõ,Gyeongsangnam-do,110,7155,1257,108,2,252.53,11483,2021-08-12,
2021-08-12 9:38,88,6028,°æºÏ,?ÝÁ,Gyeongsangbuk-do,63,5382,558,63,0,228.38,11482,2021-08-12,
2021-08-12 9:38,18,2238,Àü³²,îïÑõ,Jeollanam-do,27,2016,204,27,0,120.87,11481,2021-08-12,
2021-08-12 9:38,60,3043,ÀüºÏ,îïÝÁ,Jeollabuk-do,24,2690,293,24,0,168.67,11480,2021-08-12,
2021-08-12 9:38,46,5705,Ãæ³²,õ÷Ñõ,Chungcheongnam-do,85,4804,855,84,1,268.97,11479,2021-08-12,
2021-08-12 9:38,71,4378,ÃæºÏ,õ÷ÝÁ,Chungcheongbuk-do,75,3773,534,75,0,273.48,11478,2021-08-12,
2021-08-12 9:38,57,4831,°­¿ø,Ë°ê«,Gangwon-do,42,4405,369,41,1,313.12,11477,2021-08-12,
2021-08-12 9:38,698,61364,°æ±â,ÌÈÑ²,Gyeonggi-do,575,53471,7195,570,5,457.02,11476,2021-08-12,
2021-08-12 9:38,1,847,¼¼Á¾,á¦ðó,Sejong,11,743,103,11,0,238.03,11475,2021-08-12,
2021-08-12 9:38,41,3556,¿ï»ê,ê¥ß£,Ulsan,54,3180,335,53,1,313.02,11474,2021-08-12,
2021-08-12 9:38,31,4856,´ëÀü,ÓÞï£,Daejeon,51,3654,1171,51,0,331.72,11473,2021-08-12,
2021-08-12 9:38,24,3619,±¤ÁÖ,ÎÃñ¶,Gwangju,20,3392,203,20,0,249.58,11472,2021-08-12,
2021-08-12 9:38,70,10057,ÀÎÃµ,ìÒô¹,Incheon,114,8916,1071,109,5,341.75,11471,2021-08-12,
2021-08-12 9:38,223,12437,´ë±¸,ÓÞÏÈ,Daegu,39,11453,761,38,1,514.28,11470,2021-08-12,
2021-08-12 9:38,128,9514,ºÎ»ê,Ý¼ß£,Busan,132,8056,1330,128,4,280.49,11469,2021-08-12,
2021-08-12 9:38,546,69831,¼­¿ï,âÏ?,Seoul,526,60678,8607,522,4,722.26,11468,2021-08-12,
2021-08-12 9:38,2138,218192,ÇÕ°è,ùê?,Total,1987,190535,25519,1947,40,420.98,11467,2021-08-12,
2021-08-11 9:40,12,5497,°Ë¿ª,Ì°×îÏ¡,Lazaretto,27,5011,474,0,27,-,11466,2021-08-11,
2021-08-11 9:40,1,1917,Á¦ÁÖ,?ñ¶,Jeju,28,1742,174,28,0,284.15,11465,2021-08-11,
2021-08-11 9:40,23,8325,°æ³²,?Ñõ,Gyeongsangnam-do,141,7078,1224,139,2,249.24,11464,2021-08-11,
